year,best_actor,best_actor_film,best_actress,best_actress_film
1930,George Arliss,Disraeli,Norma Shearer,The Divorcee
1931,Lionel Barrymore,A Free Soul,Marie Dressler,Min and Bill
1932,Fredric March and Wallace Beery (tie),Dr. Jekyll and Mr. Hyde / The Champ,Helen Hayes,The Sin of Madelon Claudet
1933,Charles Laughton,The Private Life of Henry VIII,Katharine Hepburn,Morning Glory
1934,Clark Gable,It Happened One Night,Claudette Colbert,It Happened One Night
1935,Victor McLaglen,The Informer,Bette Davis,Dangerous
1936,Paul Muni,The Story of Louis Pasteur,Luise Rainer,The Great Ziegfeld
1937,Spencer Tracy,Captains Courageous,Luise Rainer,The Good Earth
1938,Spencer Tracy,Boys Town,Bette Davis,Jezebel
1939,Robert Donat,Goodbye Mr Chips,Vivien Leigh,Gone with the Wind
1940,James Stewart,The Philadelphia Story,Ginger Rogers,Kitty Foyle
1941,Gary Cooper,Sergeant York,Joan Fontaine,Suspicion
1942,James Cagney,Yankee Doodle Dandy,Greer Garson,Mrs Miniver
1943,Paul Lukas,Watch on the Rhine,Jennifer Jones,The Song of Bernadette
1944,Bing Crosby,Going My Way,Ingrid Bergman,Gaslight
1945,Ray Milland,The Lost Weekend,Joan Crawford,Mildred Pierce
1946,Fredric March,The Best Years of Our Lives,Olivia de Havilland,To Each His Own
1947,Ronald Colman,A Double Life,Loretta Young,The Farmer's Daughter
1948,Laurence Olivier,Hamlet,Jane Wyman,Johnny Belinda
1949,Broderick Crawford,All the King's Men,Olivia de Havilland,The Heiress
1950,Jose Ferrer,Cyrano de Bergerac,Judy Holliday,Born Yesterday
1951,Humphrey Bogart,The African Queen,Vivien Leigh,A Streetcar Named Desire
1952,Gary Cooper,High Noon,Shirley Booth,Come Back Little Sheba
1953,William Holden,Stalag 17,Audrey Hepburn,Roman Holiday
1954,Marlon Brando,On the Waterfront,Grace Kelly,The Country Girl
1955,Ernest Borgnine,Marty,Anna Magnani,The Rose Tattoo
1956,Yul Brynner,The King and I,Ingrid Bergman,Anastasia
1957,Alec Guinness,The Bridge on the River Kwai,Joanne Woodward,The Three Faces of Eve
1958,David Niven,Separate Tables,Susan Hayward,I Want to Live!
1959,Charlton Heston,Ben-Hur,Simone Signoret,Room at the Top
1960,Burt Lancaster,Elmer Gantry,Elizabeth Taylor,Butterfield 8
1961,Maximilian Schell,Judgment at Nuremberg,Sophia Loren,Two Women
1962,Gregory Peck,To Kill a Mockingbird,Anne Bancroft,The Miracle Worker
1963,Sidney Poitier,Lilies of the Field,Patricia Neal,Hud
1964,Rex Harrison,My Fair Lady,Julie Andrews,Mary Poppins
1965,Lee Marvin,Cat Ballou,Julie Christie,Darling
1966,Paul Scofield,A Man for All Seasons,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1967,Rod Steiger,In the Heat of the Night,Katharine Hepburn,Guess Who's Coming to Dinner
1968,Cliff Robertson,Charly,Katharine Hepburn and Barbra Streisand (tie),The Lion in Winter / Funny Girl
1969,John Wayne,True Grit,Maggie Smith,The Prime of Miss Jean Brodie
1970,George C. Scott,Patton,Glenda Jackson,Women in Love
1971,Gene Hackman,The French Connection,Jane Fonda,Klute
1972,Marlon Brando,The Godfather,Liza Minnelli,Cabaret
1973,Jack Lemmon,Save the Tiger,Glenda Jackson,A Touch of Class
1974,Art Carney,Harry and Tonto,Ellen Burstyn,Alice Doesn't Live Here Anymore
1975,Jack Nicholson,One Flew Over the Cuckoo's Nest,Louise Fletcher,One Flew Over the Cuckoo's Nest
1976,Peter Finch,Network,Faye Dunaway,Network
1977,Richard Dreyfuss,The Goodbye Girl,Diane Keaton,Annie Hall
1978,Jon Voight,Coming Home,Jane Fonda,Coming Home
1979,Dustin Hoffman,Kramer vs Kramer,Sally Field,Norma Rae
1980,Robert De Niro,Raging Bull,Sissy Spacek,Coal Miner's Daughter
1981,Henry Fonda,On Golden Pond,Katharine Hepburn,On Golden Pond
1982,Ben Kingsley,Gandhi,Meryl Streep,Sophie's Choice
1983,Robert Duvall,Tender Mercies,Shirley MacLaine,Terms of Endearment
1984,F. Murray Abraham,Amadeus,Sally Field,Places in the Heart
1985,William Hurt,Kiss of the Spider Woman,Geraldine Page,The Trip to Bountiful
1986,Paul Newman,The Color of Money,Marlee Matlin,Children of a Lesser God
1987,Michael Douglas,Wall Street,Cher,Moonstruck
1988,Dustin Hoffman,Rain Man,Jodie Foster,The Accused
1989,Daniel Day-Lewis,My Left Foot,Jessica Tandy,Driving Miss Daisy
1990,Jeremy Irons,Reversal of Fortune,Kathy Bates,Misery
1991,Anthony Hopkins,The Silence of the Lambs,Jodie Foster,The Silence of the Lambs
1992,Al Pacino,Scent of a Woman,Emma Thompson,Howards End
1993,Tom Hanks,Philadelphia,Holly Hunter,The Piano
1994,Tom Hanks,Forrest Gump,Jessica Lange,Blue Sky
1995,Nicolas Cage,Leaving Las Vegas,Susan Sarandon,Dead Man Walking
1996,Geoffrey Rush,Shine,Frances McDormand,Fargo
1997,Jack Nicholson,As Good as It Gets,Helen Hunt,As Good as It Gets
1998,Roberto Benigni,Life Is Beautiful,Gwyneth Paltrow,Shakespeare in Love
1999,Kevin Spacey,American Beauty,Hilary Swank,Boys Don't Cry
2000,Russell Crowe,Gladiator,Julia Roberts,Erin Brockovich
2001,Denzel Washington,Training Day,Halle Berry,Monster's Ball
2002,Adrien Brody,The Pianist,Nicole Kidman,The Hours
2003,Sean Penn,Mystic River,Charlize Theron,Monster
2004,Jamie Foxx,Ray,Hilary Swank,Million Dollar Baby
2005,Philip Seymour Hoffman,Capote,Reese Witherspoon,Walk the Line
2006,Forest Whitaker,The Last King of Scotland,Helen Mirren,The Queen
2007,Daniel Day-Lewis,There Will Be Blood,Marion Cotillard,La Vie en Rose
2008,Sean Penn,Milk,Kate Winslet,The Reader
2009,Jeff Bridges,Crazy Heart,Sandra Bullock,The Blind Side
2010,Colin Firth,The King's Speech,Natalie Portman,Black Swan
2011,Jean Dujardin,The Artist,Meryl Streep,The Iron Lady
2012,Daniel Day-Lewis,Lincoln,Jennifer Lawrence,Silver Linings Playbook
2013,Matthew McConaughey,Dallas Buyers Club,Cate Blanchett,Blue Jasmine
2014,Eddie Redmayne,The Theory of Everything,Julianne Moore,Still Alice
2015,Leonardo DiCaprio,The Revenant,Brie Larson,Room
2016,Casey Affleck,Manchester by the Sea,Emma Stone,La La Land
2017,Gary Oldman,Darkest Hour,Frances McDormand,Three Billboards Outside Ebbing Missouri
2018,Rami Malek,Bohemian Rhapsody,Olivia Colman,The Favourite
2019,Joaquin Phoenix,Joker,Renee Zellweger,Judy
2020,Anthony Hopkins,The Father,Frances McDormand,Nomadland
2021,Will Smith,King Richard,Jessica Chastain,The Eyes of Tammy Faye
2022,Brendan Fraser,The Whale,Michelle Yeoh,Everything Everywhere All at Once
2023,Cillian Murphy,Oppenheimer,Emma Stone,Poor Things
2024,Adrien Brody,The Brutalist,Mikey Madison,Anora
2025,Michael B. Jordan,Sinners,Jessie Buckley,Hamnet
